search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
fhirversion,CapabilityStatement,fhirversion,draft,token,f:CapabilityStatement/f:version,CapabilityStatement.version,None,CapabilityStatement.version
format,CapabilityStatement,format,draft,token,f:CapabilityStatement/f:format,CapabilityStatement.format,None,CapabilityStatement.format
guide,CapabilityStatement,guide,draft,reference,f:CapabilityStatement/f:implementationGuide,CapabilityStatement.implementationGuide,ImplementationGuide,CapabilityStatement.implementationGuide
jurisdiction,CapabilityStatement|CodeSystem|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,jurisdiction,draft,token,f:CapabilityStatement/f:jurisdiction | f:CodeSystem/f:jurisdiction | f:ConceptMap/f:jurisdiction | f:GraphDefinition/f:jurisdiction | f:ImplementationGuide/f:jurisdiction | f:MessageDefinition/f:jurisdiction | f:NamingSystem/f:jurisdiction | f:OperationDefinition/f:jurisdiction | f:SearchParameter/f:jurisdiction | f:StructureDefinition/f:jurisdiction | f:StructureMap/f:jurisdiction | f:TerminologyCapabilities/f:jurisdiction | f:ValueSet/f:jurisdiction,CapabilityStatement.jurisdiction | CodeSystem.jurisdiction | ConceptMap.jurisdiction | GraphDefinition.jurisdiction | ImplementationGuide.jurisdiction | MessageDefinition.jurisdiction | NamingSystem.jurisdiction | OperationDefinition.jurisdiction | SearchParameter.jurisdiction | StructureDefinition.jurisdiction | StructureMap.jurisdiction | TerminologyCapabilities.jurisdiction | ValueSet.jurisdiction,None,CapabilityStatement.jurisdiction | CodeSystem.jurisdiction | ConceptMap.jurisdiction | GraphDefinition.jurisdiction | ImplementationGuide.jurisdiction | MessageDefinition.jurisdiction | NamingSystem.jurisdiction | OperationDefinition.jurisdiction | SearchParameter.jurisdiction | StructureDefinition.jurisdiction | StructureMap.jurisdiction | TerminologyCapabilities.jurisdiction | ValueSet.jurisdiction
mode,CapabilityStatement,mode,draft,token,f:CapabilityStatement/f:rest/f:mode,CapabilityStatement.rest.mode,None,CapabilityStatement.rest.mode
name,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,name,draft,string,f:CapabilityStatement/f:name | f:CodeSystem/f:name | f:CompartmentDefinition/f:name | f:ConceptMap/f:name | f:GraphDefinition/f:name | f:ImplementationGuide/f:name | f:MessageDefinition/f:name | f:NamingSystem/f:name | f:OperationDefinition/f:name | f:SearchParameter/f:name | f:StructureDefinition/f:name | f:StructureMap/f:name | f:TerminologyCapabilities/f:name | f:ValueSet/f:name,CapabilityStatement.name | CodeSystem.name | CompartmentDefinition.name | ConceptMap.name | GraphDefinition.name | ImplementationGuide.name | MessageDefinition.name | NamingSystem.name | OperationDefinition.name | SearchParameter.name | StructureDefinition.name | StructureMap.name | TerminologyCapabilities.name | ValueSet.name,None,CapabilityStatement.name | CodeSystem.name | CompartmentDefinition.name | ConceptMap.name | GraphDefinition.name | ImplementationGuide.name | MessageDefinition.name | NamingSystem.name | OperationDefinition.name | SearchParameter.name | StructureDefinition.name | StructureMap.name | TerminologyCapabilities.name | ValueSet.name
publisher,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,publisher,draft,string,f:CapabilityStatement/f:publisher | f:CodeSystem/f:publisher | f:CompartmentDefinition/f:publisher | f:ConceptMap/f:publisher | f:GraphDefinition/f:publisher | f:ImplementationGuide/f:publisher | f:MessageDefinition/f:publisher | f:NamingSystem/f:publisher | f:OperationDefinition/f:publisher | f:SearchParameter/f:publisher | f:StructureDefinition/f:publisher | f:StructureMap/f:publisher | f:TerminologyCapabilities/f:publisher | f:ValueSet/f:publisher,CapabilityStatement.publisher | CodeSystem.publisher | CompartmentDefinition.publisher | ConceptMap.publisher | GraphDefinition.publisher | ImplementationGuide.publisher | MessageDefinition.publisher | NamingSystem.publisher | OperationDefinition.publisher | SearchParameter.publisher | StructureDefinition.publisher | StructureMap.publisher | TerminologyCapabilities.publisher | ValueSet.publisher,None,CapabilityStatement.publisher | CodeSystem.publisher | CompartmentDefinition.publisher | ConceptMap.publisher | GraphDefinition.publisher | ImplementationGuide.publisher | MessageDefinition.publisher | NamingSystem.publisher | OperationDefinition.publisher | SearchParameter.publisher | StructureDefinition.publisher | StructureMap.publisher | TerminologyCapabilities.publisher | ValueSet.publisher
resource,CapabilityStatement,resource,draft,token,f:CapabilityStatement/f:rest/f:resource/f:type,CapabilityStatement.rest.resource.type,None,CapabilityStatement.rest.resource.type
resource-profile,CapabilityStatement,resource-profile,draft,reference,f:CapabilityStatement/f:rest/f:resource/f:profile,CapabilityStatement.rest.resource.profile,StructureDefinition,CapabilityStatement.rest.resource.profile
security-service,CapabilityStatement,security-service,draft,token,f:CapabilityStatement/f:rest/f:security/f:service,CapabilityStatement.rest.security.service,None,CapabilityStatement.rest.security.service
software,CapabilityStatement,software,draft,string,f:CapabilityStatement/f:software/f:name,CapabilityStatement.software.name,None,CapabilityStatement.software.name
status,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,status,draft,token,f:CapabilityStatement/f:status | f:CodeSystem/f:status | f:CompartmentDefinition/f:status | f:ConceptMap/f:status | f:GraphDefinition/f:status | f:ImplementationGuide/f:status | f:MessageDefinition/f:status | f:NamingSystem/f:status | f:OperationDefinition/f:status | f:SearchParameter/f:status | f:StructureDefinition/f:status | f:StructureMap/f:status | f:TerminologyCapabilities/f:status | f:ValueSet/f:status,CapabilityStatement.status | CodeSystem.status | CompartmentDefinition.status | ConceptMap.status | GraphDefinition.status | ImplementationGuide.status | MessageDefinition.status | NamingSystem.status | OperationDefinition.status | SearchParameter.status | StructureDefinition.status | StructureMap.status | TerminologyCapabilities.status | ValueSet.status,None,CapabilityStatement.status | CodeSystem.status | CompartmentDefinition.status | ConceptMap.status | GraphDefinition.status | ImplementationGuide.status | MessageDefinition.status | NamingSystem.status | OperationDefinition.status | SearchParameter.status | StructureDefinition.status | StructureMap.status | TerminologyCapabilities.status | ValueSet.status
supported-profile,CapabilityStatement,supported-profile,draft,reference,f:CapabilityStatement/f:rest/f:resource/f:supportedProfile,CapabilityStatement.rest.resource.supportedProfile,StructureDefinition,CapabilityStatement.rest.resource.supportedProfile
title,CapabilityStatement|CodeSystem|ConceptMap|ImplementationGuide|MessageDefinition|OperationDefinition|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,title,draft,string,f:CapabilityStatement/f:title | f:CodeSystem/f:title | f:ConceptMap/f:title | f:ImplementationGuide/f:title | f:MessageDefinition/f:title | f:OperationDefinition/f:title | f:StructureDefinition/f:title | f:StructureMap/f:title | f:TerminologyCapabilities/f:title | f:ValueSet/f:title,CapabilityStatement.title | CodeSystem.title | ConceptMap.title | ImplementationGuide.title | MessageDefinition.title | OperationDefinition.title | StructureDefinition.title | StructureMap.title | TerminologyCapabilities.title | ValueSet.title,None,CapabilityStatement.title | CodeSystem.title | ConceptMap.title | ImplementationGuide.title | MessageDefinition.title | OperationDefinition.title | StructureDefinition.title | StructureMap.title | TerminologyCapabilities.title | ValueSet.title
url,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,url,draft,uri,f:CapabilityStatement/f:url | f:CodeSystem/f:url | f:CompartmentDefinition/f:url | f:ConceptMap/f:url | f:GraphDefinition/f:url | f:ImplementationGuide/f:url | f:MessageDefinition/f:url | f:OperationDefinition/f:url | f:SearchParameter/f:url | f:StructureDefinition/f:url | f:StructureMap/f:url | f:TerminologyCapabilities/f:url | f:ValueSet/f:url,CapabilityStatement.url | CodeSystem.url | CompartmentDefinition.url | ConceptMap.url | GraphDefinition.url | ImplementationGuide.url | MessageDefinition.url | OperationDefinition.url | SearchParameter.url | StructureDefinition.url | StructureMap.url | TerminologyCapabilities.url | ValueSet.url,None,CapabilityStatement.url | CodeSystem.url | CompartmentDefinition.url | ConceptMap.url | GraphDefinition.url | ImplementationGuide.url | MessageDefinition.url | OperationDefinition.url | SearchParameter.url | StructureDefinition.url | StructureMap.url | TerminologyCapabilities.url | ValueSet.url
version,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,version,draft,token,f:CapabilityStatement/f:version | f:CodeSystem/f:version | f:CompartmentDefinition/f:version | f:ConceptMap/f:version | f:GraphDefinition/f:version | f:ImplementationGuide/f:version | f:MessageDefinition/f:version | f:OperationDefinition/f:version | f:SearchParameter/f:version | f:StructureDefinition/f:version | f:StructureMap/f:version | f:TerminologyCapabilities/f:version | f:ValueSet/f:version,CapabilityStatement.version | CodeSystem.version | CompartmentDefinition.version | ConceptMap.version | GraphDefinition.version | ImplementationGuide.version | MessageDefinition.version | OperationDefinition.version | SearchParameter.version | StructureDefinition.version | StructureMap.version | TerminologyCapabilities.version | ValueSet.version,None,CapabilityStatement.version | CodeSystem.version | CompartmentDefinition.version | ConceptMap.version | GraphDefinition.version | ImplementationGuide.version | MessageDefinition.version | OperationDefinition.version | SearchParameter.version | StructureDefinition.version | StructureMap.version | TerminologyCapabilities.version | ValueSet.version
context-type-quantity,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,context-type-quantity,draft,composite,None,None,None,CapabilityStatement.useContext | CodeSystem.useContext | CompartmentDefinition.useContext | ConceptMap.useContext | GraphDefinition.useContext | ImplementationGuide.useContext | MessageDefinition.useContext | NamingSystem.useContext | OperationDefinition.useContext | SearchParameter.useContext | StructureDefinition.useContext | StructureMap.useContext | TerminologyCapabilities.useContext | ValueSet.useContext
context-type-value,CapabilityStatement|CodeSystem|CompartmentDefinition|ConceptMap|GraphDefinition|ImplementationGuide|MessageDefinition|NamingSystem|OperationDefinition|SearchParameter|StructureDefinition|StructureMap|TerminologyCapabilities|ValueSet,context-type-value,draft,composite,None,None,None,CapabilityStatement.useContext | CodeSystem.useContext | CompartmentDefinition.useContext | ConceptMap.useContext | GraphDefinition.useContext | ImplementationGuide.useContext | MessageDefinition.useContext | NamingSystem.useContext | OperationDefinition.useContext | SearchParameter.useContext | StructureDefinition.useContext | StructureMap.useContext | TerminologyCapabilities.useContext | ValueSet.useContext
activity-code,CarePlan,activity-code,draft,token,f:CarePlan/f:activity/f:detail/f:code,CarePlan.activity.detail.code,None,CarePlan.activity.detail.code
activity-date,CarePlan,activity-date,draft,date,f:CarePlan/f:activity/f:detail/f:scheduledTiming | f:CarePlan/f:activity/f:detail/f:scheduledPeriod | f:CarePlan/f:activity/f:detail/f:scheduledString,CarePlan.activity.detail.scheduledTiming | CarePlan.activity.detail.scheduledPeriod | CarePlan.activity.detail.scheduledString,None,CarePlan.activity.detail.scheduled
activity-reference,CarePlan,activity-reference,draft,reference,f:CarePlan/f:activity/f:reference,CarePlan.activity.reference,Appointment|MedicationRequest|Task|NutritionOrder|RequestGroup|VisionPrescription|DeviceRequest|ServiceRequest|CommunicationRequest,CarePlan.activity.reference
based-on,CarePlan,based-on,draft,reference,f:CarePlan/f:basedOn,CarePlan.basedOn,CarePlan,CarePlan.basedOn
care-team,CarePlan,care-team,draft,reference,f:CarePlan/f:careTeam,CarePlan.careTeam,CareTeam,CarePlan.careTeam
category,CarePlan,category,draft,token,f:CarePlan/f:category,CarePlan.category,None,CarePlan.category
condition,CarePlan,condition,draft,reference,f:CarePlan/f:addresses,CarePlan.addresses,Condition,CarePlan.addresses
encounter,CarePlan,encounter,draft,reference,f:CarePlan/f:encounter,CarePlan.encounter,Encounter,CarePlan.encounter
goal,CarePlan,goal,draft,reference,f:CarePlan/f:goal,CarePlan.goal,Goal,CarePlan.goal
instantiates-canonical,CarePlan,instantiates-canonical,draft,reference,f:CarePlan/f:instantiatesCanonical,CarePlan.instantiatesCanonical,Questionnaire|Measure|PlanDefinition|OperationDefinition|ActivityDefinition,CarePlan.instantiatesCanonical
instantiates-uri,CarePlan,instantiates-uri,draft,uri,f:CarePlan/f:instantiatesUri,CarePlan.instantiatesUri,None,CarePlan.instantiatesUri
intent,CarePlan,intent,draft,token,f:CarePlan/f:intent,CarePlan.intent,None,CarePlan.intent
part-of,CarePlan,part-of,draft,reference,f:CarePlan/f:partOf,CarePlan.partOf,CarePlan,CarePlan.partOf
performer,CarePlan,performer,draft,reference,f:CarePlan/f:activity/f:detail/f:performer,CarePlan.activity.detail.performer,Practitioner|Organization|CareTeam|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson,CarePlan.activity.detail.performer
replaces,CarePlan,replaces,draft,reference,f:CarePlan/f:replaces,CarePlan.replaces,CarePlan,CarePlan.replaces
status,CarePlan,status,draft,token,f:CarePlan/f:status,CarePlan.status,None,CarePlan.status
subject,CarePlan,subject,draft,reference,f:CarePlan/f:subject,CarePlan.subject,Group|Patient,CarePlan.subject
category,CareTeam,category,draft,token,f:CareTeam/f:category,CareTeam.category,None,CareTeam.category
encounter,CareTeam,encounter,draft,reference,f:CareTeam/f:encounter,CareTeam.encounter,Encounter,CareTeam.encounter
participant,CareTeam,participant,draft,reference,f:CareTeam/f:participant/f:member,CareTeam.participant.member,Practitioner|Organization|CareTeam|Patient|PractitionerRole|RelatedPerson,CareTeam.participant.member
status,CareTeam,status,draft,token,f:CareTeam/f:status,CareTeam.status,None,CareTeam.status
subject,CareTeam,subject,draft,reference,f:CareTeam/f:subject,CareTeam.subject,Group|Patient,CareTeam.subject
account,ChargeItem,account,draft,reference,f:ChargeItem/f:account,ChargeItem.account,Account,ChargeItem.account
code,ChargeItem,code,draft,token,f:ChargeItem/f:code,ChargeItem.code,None,ChargeItem.code
context,ChargeItem,context,draft,reference,f:ChargeItem/f:context,ChargeItem.context,EpisodeOfCare|Encounter,ChargeItem.context
entered-date,ChargeItem,entered-date,draft,date,f:ChargeItem/f:enteredDate,ChargeItem.enteredDate,None,ChargeItem.enteredDate
enterer,ChargeItem,enterer,draft,reference,f:ChargeItem/f:enterer,ChargeItem.enterer,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,ChargeItem.enterer
factor-override,ChargeItem,factor-override,draft,number,f:ChargeItem/f:factorOverride,ChargeItem.factorOverride,None,ChargeItem.factorOverride
identifier,ChargeItem,identifier,draft,token,f:ChargeItem/f:identifier,ChargeItem.identifier,None,ChargeItem.identifier
occurrence,ChargeItem,occurrence,draft,date,f:ChargeItem/f:occurrenceDateTime | f:ChargeItem/f:occurrencePeriod | f:ChargeItem/f:occurrenceTiming,ChargeItem.occurrenceDateTime | ChargeItem.occurrencePeriod | ChargeItem.occurrenceTiming,None,ChargeItem.occurrence
patient,ChargeItem,patient,draft,reference,f:ChargeItem/f:subject,ChargeItem.subject,Patient,ChargeItem.subject.where(resolve() is Patient)
performer-actor,ChargeItem,performer-actor,draft,reference,f:ChargeItem/f:performer/f:actor,ChargeItem.performer.actor,Practitioner|Organization|CareTeam|Device|Patient|PractitionerRole|RelatedPerson,ChargeItem.performer.actor
performer-function,ChargeItem,performer-function,draft,token,f:ChargeItem/f:performer/f:function,ChargeItem.performer.function,None,ChargeItem.performer.function
performing-organization,ChargeItem,performing-organization,draft,reference,f:ChargeItem/f:performingOrganization,ChargeItem.performingOrganization,Organization,ChargeItem.performingOrganization
price-override,ChargeItem,price-override,draft,quantity,f:ChargeItem/f:priceOverride,ChargeItem.priceOverride,None,ChargeItem.priceOverride
quantity,ChargeItem,quantity,draft,quantity,f:ChargeItem/f:quantity,ChargeItem.quantity,None,ChargeItem.quantity
requesting-organization,ChargeItem,requesting-organization,draft,reference,f:ChargeItem/f:requestingOrganization,ChargeItem.requestingOrganization,Organization,ChargeItem.requestingOrganization
service,ChargeItem,service,draft,reference,f:ChargeItem/f:service,ChargeItem.service,Immunization|MedicationDispense|SupplyDelivery|Observation|DiagnosticReport|ImagingStudy|MedicationAdministration|Procedure,ChargeItem.service
subject,ChargeItem,subject,draft,reference,f:ChargeItem/f:subject,ChargeItem.subject,Group|Patient,ChargeItem.subject
context,ChargeItemDefinition,context,draft,token,f:ChargeItemDefinition/f:useContext/f:valueCodeableConcept,ChargeItemDefinition.useContext.valueCodeableConcept,None,(ChargeItemDefinition.useContext.value as CodeableConcept)
context-quantity,ChargeItemDefinition,context-quantity,draft,quantity,f:ChargeItemDefinition/f:useContext/f:valueQuantity | f:ChargeItemDefinition/f:useContext/f:valueRange,ChargeItemDefinition.useContext.valueQuantity | ChargeItemDefinition.useContext.valueRange,None,(ChargeItemDefinition.useContext.value as Quantity) | (ChargeItemDefinition.useContext.value as Range)
context-type,ChargeItemDefinition,context-type,draft,token,f:ChargeItemDefinition/f:useContext/f:code,ChargeItemDefinition.useContext.code,None,ChargeItemDefinition.useContext.code
date,ChargeItemDefinition,date,draft,date,f:ChargeItemDefinition/f:date,ChargeItemDefinition.date,None,ChargeItemDefinition.date
description,ChargeItemDefinition,description,draft,string,f:ChargeItemDefinition/f:description,ChargeItemDefinition.description,None,ChargeItemDefinition.description
effective,ChargeItemDefinition,effective,draft,date,f:ChargeItemDefinition/f:effectivePeriod,ChargeItemDefinition.effectivePeriod,None,ChargeItemDefinition.effectivePeriod
identifier,ChargeItemDefinition,identifier,draft,token,f:ChargeItemDefinition/f:identifier,ChargeItemDefinition.identifier,None,ChargeItemDefinition.identifier
jurisdiction,ChargeItemDefinition,jurisdiction,draft,token,f:ChargeItemDefinition/f:jurisdiction,ChargeItemDefinition.jurisdiction,None,ChargeItemDefinition.jurisdiction
publisher,ChargeItemDefinition,publisher,draft,string,f:ChargeItemDefinition/f:publisher,ChargeItemDefinition.publisher,None,ChargeItemDefinition.publisher
status,ChargeItemDefinition,status,draft,token,f:ChargeItemDefinition/f:status,ChargeItemDefinition.status,None,ChargeItemDefinition.status
title,ChargeItemDefinition,title,draft,string,f:ChargeItemDefinition/f:title,ChargeItemDefinition.title,None,ChargeItemDefinition.title
url,ChargeItemDefinition,url,draft,uri,f:ChargeItemDefinition/f:url,ChargeItemDefinition.url,None,ChargeItemDefinition.url
version,ChargeItemDefinition,version,draft,token,f:ChargeItemDefinition/f:version,ChargeItemDefinition.version,None,ChargeItemDefinition.version
context-type-quantity,ChargeItemDefinition,context-type-quantity,draft,composite,None,None,None,ChargeItemDefinition.useContext
context-type-value,ChargeItemDefinition,context-type-value,draft,composite,None,None,None,ChargeItemDefinition.useContext
care-team,Claim,care-team,draft,reference,f:Claim/f:careTeam/f:provider,Claim.careTeam.provider,Practitioner|Organization|PractitionerRole,Claim.careTeam.provider
created,Claim,created,draft,date,f:Claim/f:created,Claim.created,None,Claim.created
detail-udi,Claim,detail-udi,draft,reference,f:Claim/f:item/f:detail/f:udi,Claim.item.detail.udi,Device,Claim.item.detail.udi
encounter,Claim,encounter,draft,reference,f:Claim/f:item/f:encounter,Claim.item.encounter,Encounter,Claim.item.encounter
enterer,Claim,enterer,draft,reference,f:Claim/f:enterer,Claim.enterer,Practitioner|PractitionerRole,Claim.enterer
facility,Claim,facility,draft,reference,f:Claim/f:facility,Claim.facility,Location,Claim.facility
identifier,Claim,identifier,draft,token,f:Claim/f:identifier,Claim.identifier,None,Claim.identifier
insurer,Claim,insurer,draft,reference,f:Claim/f:insurer,Claim.insurer,Organization,Claim.insurer
item-udi,Claim,item-udi,draft,reference,f:Claim/f:item/f:udi,Claim.item.udi,Device,Claim.item.udi
patient,Claim,patient,draft,reference,f:Claim/f:patient,Claim.patient,Patient,Claim.patient
payee,Claim,payee,draft,reference,f:Claim/f:payee/f:party,Claim.payee.party,Practitioner|Organization|Patient|PractitionerRole|RelatedPerson,Claim.payee.party
priority,Claim,priority,draft,token,f:Claim/f:priority,Claim.priority,None,Claim.priority
procedure-udi,Claim,procedure-udi,draft,reference,f:Claim/f:procedure/f:udi,Claim.procedure.udi,Device,Claim.procedure.udi
provider,Claim,provider,draft,reference,f:Claim/f:provider,Claim.provider,Practitioner|Organization|PractitionerRole,Claim.provider
status,Claim,status,draft,token,f:Claim/f:status,Claim.status,None,Claim.status
subdetail-udi,Claim,subdetail-udi,draft,reference,f:Claim/f:item/f:detail/f:subDetail/f:udi,Claim.item.detail.subDetail.udi,Device,Claim.item.detail.subDetail.udi
use,Claim,use,draft,token,f:Claim/f:use,Claim.use,None,Claim.use
created,ClaimResponse,created,draft,date,f:ClaimResponse/f:created,ClaimResponse.created,None,ClaimResponse.created
disposition,ClaimResponse,disposition,draft,string,f:ClaimResponse/f:disposition,ClaimResponse.disposition,None,ClaimResponse.disposition
identifier,ClaimResponse,identifier,draft,token,f:ClaimResponse/f:identifier,ClaimResponse.identifier,None,ClaimResponse.identifier
insurer,ClaimResponse,insurer,draft,reference,f:ClaimResponse/f:insurer,ClaimResponse.insurer,Organization,ClaimResponse.insurer
outcome,ClaimResponse,outcome,draft,token,f:ClaimResponse/f:outcome,ClaimResponse.outcome,None,ClaimResponse.outcome
patient,ClaimResponse,patient,draft,reference,f:ClaimResponse/f:patient,ClaimResponse.patient,Patient,ClaimResponse.patient
payment-date,ClaimResponse,payment-date,draft,date,f:ClaimResponse/f:payment/f:date,ClaimResponse.payment.date,None,ClaimResponse.payment.date
request,ClaimResponse,request,draft,reference,f:ClaimResponse/f:request,ClaimResponse.request,Claim,ClaimResponse.request
requestor,ClaimResponse,requestor,draft,reference,f:ClaimResponse/f:requestor,ClaimResponse.requestor,Practitioner|Organization|PractitionerRole,ClaimResponse.requestor
status,ClaimResponse,status,draft,token,f:ClaimResponse/f:status,ClaimResponse.status,None,ClaimResponse.status
use,ClaimResponse,use,draft,token,f:ClaimResponse/f:use,ClaimResponse.use,None,ClaimResponse.use
assessor,ClinicalImpression,assessor,draft,reference,f:ClinicalImpression/f:assessor,ClinicalImpression.assessor,Practitioner|PractitionerRole,ClinicalImpression.assessor
encounter,ClinicalImpression,encounter,draft,reference,f:ClinicalImpression/f:encounter,ClinicalImpression.encounter,Encounter,ClinicalImpression.encounter
finding-code,ClinicalImpression,finding-code,draft,token,f:ClinicalImpression/f:finding/f:itemCodeableConcept,ClinicalImpression.finding.itemCodeableConcept,None,ClinicalImpression.finding.itemCodeableConcept
finding-ref,ClinicalImpression,finding-ref,draft,reference,f:ClinicalImpression/f:finding/f:itemReference,ClinicalImpression.finding.itemReference,Condition|Observation|Media,ClinicalImpression.finding.itemReference
identifier,ClinicalImpression,identifier,draft,token,f:ClinicalImpression/f:identifier,ClinicalImpression.identifier,None,ClinicalImpression.identifier
investigation,ClinicalImpression,investigation,draft,reference,f:ClinicalImpression/f:investigation/f:item,ClinicalImpression.investigation.item,RiskAssessment|FamilyMemberHistory|Observation|Media|DiagnosticReport|ImagingStudy|QuestionnaireResponse,ClinicalImpression.investigation.item
previous,ClinicalImpression,previous,draft,reference,f:ClinicalImpression/f:previous,ClinicalImpression.previous,ClinicalImpression,ClinicalImpression.previous
problem,ClinicalImpression,problem,draft,reference,f:ClinicalImpression/f:problem,ClinicalImpression.problem,Condition|AllergyIntolerance,ClinicalImpression.problem
status,ClinicalImpression,status,draft,token,f:ClinicalImpression/f:status,ClinicalImpression.status,None,ClinicalImpression.status
subject,ClinicalImpression,subject,draft,reference,f:ClinicalImpression/f:subject,ClinicalImpression.subject,Group|Patient,ClinicalImpression.subject
supporting-info,ClinicalImpression,supporting-info,draft,reference,f:ClinicalImpression/f:supportingInfo,ClinicalImpression.supportingInfo,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ClinicalImpression.supportingInfo
code,CodeSystem,code,draft,token,f:CodeSystem/f:concept/f:code,CodeSystem.concept.code,None,CodeSystem.concept.code
content-mode,CodeSystem,content-mode,draft,token,f:CodeSystem/f:content,CodeSystem.content,None,CodeSystem.content
identifier,CodeSystem|ConceptMap|MessageDefinition|StructureDefinition|StructureMap|ValueSet,identifier,draft,token,f:CodeSystem/f:identifier | f:ConceptMap/f:identifier | f:MessageDefinition/f:identifier | f:StructureDefinition/f:identifier | f:StructureMap/f:identifier | f:ValueSet/f:identifier,CodeSystem.identifier | ConceptMap.identifier | MessageDefinition.identifier | StructureDefinition.identifier | StructureMap.identifier | ValueSet.identifier,None,CodeSystem.identifier | ConceptMap.identifier | MessageDefinition.identifier | StructureDefinition.identifier | StructureMap.identifier | ValueSet.identifier
language,CodeSystem,language,draft,token,f:CodeSystem/f:concept/f:designation/f:language,CodeSystem.concept.designation.language,None,CodeSystem.concept.designation.language
supplements,CodeSystem,supplements,draft,reference,f:CodeSystem/f:supplements,CodeSystem.supplements,CodeSystem,CodeSystem.supplements
system,CodeSystem,system,draft,uri,f:CodeSystem/f:url,CodeSystem.url,None,CodeSystem.url
